starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 21:21:34 2024	1730838094	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:13 2024	1730838073	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:22:01 2024	1730838121	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:30 2024	1730838090	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:57 2024	1730838117	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:21 2024	1730838081	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	2	5	0
Tue Nov 05 21:21:31 2024	1730838091	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:02 2024	1730838062	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:35 2024	1730838095	3	2	5	0
Tue Nov 05 21:21:27 2024	1730838087	2	3	5	0
Tue Nov 05 21:21:48 2024	1730838108	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:37 2024	1730838097	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:22:01 2024	1730838121	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:08 2024	1730838068	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	2	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	3	5	0
Tue Nov 05 21:22:01 2024	1730838121	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:31 2024	1730838091	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:07 2024	1730838067	2	3	5	0
Tue Nov 05 21:21:31 2024	1730838091	2	3	5	0
Tue Nov 05 21:21:24 2024	1730838084	2	3	5	0
Tue Nov 05 21:21:33 2024	1730838093	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	2	5	0
Tue Nov 05 21:21:33 2024	1730838093	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	3	5	0
Tue Nov 05 21:22:01 2024	1730838121	3	2	5	0
Tue Nov 05 21:21:13 2024	1730838073	4	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
